group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902517738.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902522947.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,903184146.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902364270.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902929523.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,903014663.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,903073020.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,911058524.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,902679092.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 100 | Latency p: 0,,,903342775.0,ns,1
