group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1352831841.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1352754038.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1353053665.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1352796597.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1353280088.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1353927759.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1353213861.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1353023009.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1353345273.0,ns,1
Fib Parameter Sweep,Classic,Work ms: 150 | Latency p: 0,,,1352542392.0,ns,1
