group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,92495953.0,ns,19
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,186276459.0,ns,38
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,281273069.0,ns,57
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,377778015.0,ns,76
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,481121215.0,ns,95
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,582309658.0,ns,114
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,680625008.0,ns,133
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,753661110.0,ns,152
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,868781232.0,ns,171
Fib Parameter Sweep,Latency Hiding,Work ms: 1 | Latency p: 0.75,,,962885993.0,ns,190
