group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122078151980.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122080011266.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122081135538.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122081010054.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122081382288.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122078338387.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122084037498.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122086745539.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122085797707.0,ns,1
Fib Parameter Sweep,Serial,Work ms: 200 | Latency p: 0,,,122084506342.0,ns,1
